year,kind,rating,vote,runtime,genre1,country1,language1,cast1,cast2,director1,writer1
1996.0,1,6.8,1433.0,90.0,4,24,22,907,804,3455,4147
2002.0,1,8.0,911.0,108.0,6,10,16,3522,4907,2920,5105
2001.0,1,7.8,2778.0,95.0,6,62,16,4657,60,1047,5105
2001.0,7,8.0,259.0,91.0,14,62,16,3454,1727,1250,5105
2003.0,1,7.4,527257.0,60.0,0,62,16,3680,2223,505,5099
2001.0,4,6.1,137.0,100.0,2,37,33,4822,2648,4207,2684
2005.0,1,6.7,21.0,100.0,6,61,16,1655,1157,3942,5105
2004.0,3,6.5,398.0,84.0,7,10,16,2569,3303,1019,394
1992.0,1,7.7,140.0,60.0,6,10,16,11,32,2881,3514
2001.0,3,6.0,317.0,94.0,7,62,16,287,3135,3133,2548
2002.0,1,6.2,418.0,90.0,6,57,16,1265,1504,1258,1516
2004.0,7,7.8,368.0,65.0,6,62,16,367,2685,2925,3557
2002.0,7,unknown,165.0,87.0,21,62,16,1231,5897,525,5105
1947.0,0,unknown,176.5,93.0,4,67,64,5069,5897,4207,5105
1993.0,4,8.0,56687.0,101.0,0,62,16,422,4625,4207,3987
2003.0,1,7.3,956.0,160.0,6,62,16,2168,71,2031,5105
1982.0,1,6.7,6270.0,119.0,7,65,16,611,1790,3201,2100
2002.0,7,unknown,165.0,94.0,20,62,16,4917,1921,4207,5105
1995.0,1,6.1,831.0,42.0,7,61,16,2027,1498,3864,4672
1981.0,2,8.6,288.0,86.0,3,61,16,4070,5186,4207,1438
2004.0,3,7.7,978.0,89.0,6,61,16,1185,3721,1863,2270
1999.0,0,7.4,794.0,118.0,5,61,16,2428,1191,2827,1219
1996.0,1,4.9,1001.0,75.0,5,62,16,3747,4174,693,810
2001.0,1,8.1,164.0,100.0,4,62,16,756,5469,4207,5105
2003.0,7,8.7,371.0,100.0,6,61,16,4663,4674,1455,5105
1998.0,0,unknown,176.5,97.0,6,67,64,1059,554,4207,5105
2002.0,1,7.4,1448.0,88.0,7,32,44,4340,1726,299,384
1919.0,1,7.3,9947.0,76.0,7,62,16,2911,4657,765,4708
1976.0,1,7.7,8088.0,94.0,6,61,16,2372,2758,3075,3733
2003.0,7,6.5,2068.0,92.0,2,62,16,2290,3120,3560,40
1997.0,1,8.1,46163.0,100.0,2,37,33,3244,3854,1509,1801
2003.0,4,6.4,128.0,85.0,1,37,33,3969,3607,4207,4230
1999.0,0,7.9,899.0,93.0,5,61,16,2428,1191,1789,312
2002.0,7,4.7,6544.0,119.0,2,62,16,2137,2541,430,2531
1999.0,1,6.2,5245.0,30.0,7,30,26,66,3570,1577,3387
1967.0,1,7.5,2436.0,75.0,7,61,16,3677,2244,3070,3778
2001.0,4,5.8,416.0,89.0,2,61,16,1550,2885,4207,1768
1942.0,1,6.1,6167.0,114.0,2,62,16,1606,2866,4096,4666
1973.0,1,6.5,826.0,90.0,0,37,33,3934,3547,3878,4691
1999.0,7,5.4,610.0,76.0,0,62,16,1648,759,1588,1473
1991.0,1,5.3,413.0,91.0,7,50,48,4923,404,1556,4901
1984.0,1,6.0,2925.0,120.0,4,62,16,1350,243,390,2465
1998.0,1,7.9,91.0,77.0,14,61,16,4272,263,907,5105
1993.0,1,7.2,7668.0,95.0,0,27,7,2277,2847,738,2746
1997.0,1,6.2,67.0,95.0,2,37,16,171,5422,2117,3474
1996.0,3,7.0,4208.0,65.0,7,62,16,1225,5149,608,3613
2005.0,7,3.3,502.0,101.0,0,62,16,3200,250,1243,105
1994.0,1,5.9,14.0,108.0,6,62,16,2993,3410,1747,5105
2003.0,1,7.2,202.0,88.0,4,62,16,876,2628,349,5105
1998.0,1,3.8,271.0,95.0,0,15,16,3558,537,2802,753
2005.0,7,7.6,134.0,102.0,4,62,16,1730,1165,3958,5105
2003.0,7,7.9,164.0,93.0,6,62,16,2412,5819,3656,5105
2000.0,3,6.0,641.0,6.0,3,62,16,3811,1202,859,28
2003.0,3,5.7,399.0,98.0,25,62,16,716,734,1225,1480
1988.0,1,7.6,67057.0,83.0,7,62,16,1743,2748,3703,792
1990.0,7,7.2,21.0,139.0,2,62,16,765,1799,2024,4804
2002.0,7,6.8,22.0,309.0,14,62,16,4545,1990,1565,5105
1974.0,1,5.9,4065.0,90.0,0,61,16,3768,1283,3492,1172
2005.0,1,6.7,166.0,83.0,4,62,16,2470,4888,349,2313
1997.0,3,7.0,594.0,100.0,7,62,16,4406,3910,2069,3984
1984.0,1,5.7,2175.0,147.0,1,35,32,2934,3342,3495,675
2004.0,1,5.1,470.0,91.0,13,37,33,851,4047,2298,3473
1998.0,3,4.5,1975.0,128.0,4,62,16,771,4158,3264,3210
2004.0,0,8.7,219.0,87.0,6,67,64,3002,2030,1398,1663
1998.0,1,6.6,305.0,146.0,6,62,16,4111,1372,2031,5105
2001.0,0,7.9,16.0,90.0,6,67,64,4477,937,4207,2910
1942.0,0,unknown,176.5,79.0,4,67,64,5069,5897,4207,5105
1996.0,1,7.7,1960.0,89.0,6,61,16,1933,1977,2730,5105
2004.0,7,5.3,12532.0,94.0,0,62,16,3310,5018,3509,4241
1987.0,4,7.6,3221.0,417.0,4,61,16,1189,2543,4207,3947
2004.0,1,6.9,1916.0,95.0,4,15,10,3795,1642,1694,2058
1990.0,1,6.7,18.0,87.0,1,58,39,1909,4425,1546,1855
1993.0,4,6.8,10920.0,160.0,7,62,16,2125,2659,4207,451
1997.0,1,6.7,194.0,43.0,4,34,25,5067,1693,2108,214
1981.0,1,4.8,1038.0,117.0,0,55,22,113,267,1810,2207
1974.0,1,4.7,641.0,74.0,7,35,32,1598,2548,3597,4358
1990.0,7,8.2,180.0,92.0,6,62,16,518,4447,1839,5105
1987.0,1,4.5,27.0,94.0,20,43,64,4732,3125,2575,2059
1998.0,1,6.5,3424.0,97.0,4,30,57,3844,111,3507,4238
1999.0,1,6.3,434.0,110.0,0,36,16,3695,3678,625,4616
1976.0,1,7.0,14259.0,28.0,7,10,16,2332,3723,2904,2801
2002.0,1,6.2,1493.0,60.0,4,61,16,1747,681,2302,2798
1993.0,7,8.5,191.0,23.0,6,61,16,4785,4485,1687,5105
1979.0,4,7.4,58.0,31.0,16,61,16,3400,4013,4207,4673
2004.0,7,4.6,75.0,65.0,6,62,16,3133,5394,937,4009
1984.0,1,7.5,1532.0,25.0,7,23,20,2543,4517,1206,1779
2002.0,1,5.5,5850.0,51.0,0,23,16,4483,4159,1444,3108
1993.0,3,5.7,370.0,30.0,4,62,16,2437,4520,2735,960
1976.0,1,6.6,19667.0,134.0,7,37,33,4628,1564,2850,2792
1999.0,1,6.0,3284.0,169.0,7,47,45,598,1203,206,65
2001.0,7,4.6,1144.0,94.0,0,62,16,4819,319,3400,4197
1987.0,1,8.0,67916.0,60.0,7,65,22,695,5198,4133,5014
1966.0,1,5.5,5148.0,61.0,0,37,33,126,3227,2116,34
1998.0,1,7.8,809.0,58.0,6,62,16,1396,4491,2194,1570
2002.0,7,2.4,417.0,241.0,0,4,16,2691,1332,935,1078
2004.0,1,6.8,56.0,106.0,6,67,16,1700,5897,3028,1594
1998.0,1,7.3,973.0,104.0,4,62,16,1068,1328,4207,937
1999.0,1,5.1,13301.0,154.0,4,62,16,922,2504,1029,2372
2000.0,2,8.3,18147.0,155.0,1,61,16,1266,1200,4207,4433
2004.0,7,7.7,31.0,110.0,8,62,54,1204,4357,3743,4514
2002.0,4,7.3,4265.0,94.0,2,37,33,4020,1126,4207,821
2001.0,1,7.9,25554.0,51.0,2,37,33,3452,3560,3555,4303
1995.0,0,9.1,2399.0,90.0,7,61,16,983,4497,3019,102
2003.0,0,7.7,22.0,88.0,6,67,64,2415,5897,4207,1251
1996.0,1,6.5,1656.0,88.0,4,55,54,238,2880,2481,5056
2002.0,1,5.6,385.0,83.0,2,37,33,3477,2204,3989,4635
1997.0,1,6.5,101046.0,116.0,1,61,16,4165,4469,2657,4192
2003.0,1,3.1,1357.0,84.0,1,62,16,971,1515,3811,4618
2002.0,1,7.4,28156.0,8.0,3,4,16,1518,5457,3164,1195
2001.0,1,7.6,120.0,101.0,6,34,25,5069,5897,15,5105
1984.0,1,7.6,906.0,91.0,6,56,55,1074,2256,1578,1897
2003.0,7,unknown,165.0,94.0,6,62,16,2305,4762,3678,5105
2000.0,0,7.2,67.0,93.0,6,67,64,4274,2618,2152,2601
1992.0,4,9.0,93363.0,94.0,2,62,16,2727,1560,4207,510
2005.0,7,8.1,121.0,126.0,6,62,16,967,1658,4207,5105
1971.0,1,6.7,1364.0,142.0,7,62,41,1304,643,1656,2003
1998.0,4,7.1,186.0,76.0,2,37,33,4607,3508,4207,377
1959.0,4,9.0,75773.0,97.0,7,62,64,4113,4779,4207,4124
1985.0,1,7.6,23.0,143.0,6,61,16,4174,5083,3395,4080
1989.0,4,6.5,8365.0,94.0,4,62,16,3525,3824,4207,4547
2003.0,1,6.8,466400.0,180.0,0,62,16,3164,5372,2306,2919
1997.0,1,8.4,364432.0,108.0,2,37,33,546,590,1480,1761
1998.0,1,8.1,61463.0,95.0,7,35,16,4714,4532,1369,154
1994.0,0,unknown,176.5,51.0,2,67,64,1055,1835,3147,3790
1997.0,1,8.3,868.0,110.0,4,62,16,1686,5897,3422,1583
1988.0,1,8.2,1943.0,90.0,6,62,16,1686,4781,477,1583
2002.0,3,7.1,165.0,97.0,6,61,16,73,2193,2039,4537
1992.0,2,7.0,521.0,91.0,7,62,16,0,371,4207,2454
2001.0,1,7.3,8963.0,143.0,7,35,32,3057,5237,1201,1621
1999.0,3,5.9,1567.0,70.0,3,62,16,1856,1670,683,390
2000.0,1,6.7,6665.0,102.0,0,30,26,4263,2215,4039,4881
2004.0,7,8.4,29.0,33.0,14,62,16,4704,3350,465,5105
2003.0,0,8.0,114.0,102.0,7,62,16,2557,5709,626,4546
2003.0,1,8.7,81.0,60.0,6,67,64,3446,5897,4207,5105
1959.0,4,9.0,75773.0,30.0,7,62,64,4113,4779,4207,4124
2005.0,7,3.5,464.0,50.0,0,8,16,889,386,2559,970
1995.0,1,6.3,1958.0,118.0,4,61,16,218,3052,2769,1467
2000.0,7,8.0,184.0,97.0,6,62,16,746,842,4207,5105
